"timestamp","speed","rpm","engine_temp","fuel_level","tyre_fl","tyre_fr","tyre_rl","tyre_rr"
2026-02-24 08:00:00,65.6,4011,91.1,99.98,31.9,33.4,33.1,30.2
2026-02-24 08:00:01,36.5,2107,87.1,99.98,31.7,31.8,33.9,33
2026-02-24 08:00:02,50.4,2507,90,99.97,30.2,31.7,33.3,31.1
2026-02-24 08:00:03,54.5,2668,94.3,99.94,32.6,31.5,32.5,35.1
2026-02-24 08:00:04,51.1,2678,80,99.92,30.6,32.9,32.9,32.2
2026-02-24 08:00:05,43.4,2714,86,99.91,32.6,30.1,32.4,32.9
2026-02-24 08:00:06,67.7,4016,93.7,99.9,31,32.9,29.8,32
2026-02-24 08:00:07,43.6,2396,85.4,99.9,31.3,30.5,33.3,32.7
2026-02-24 08:00:08,75.3,4283,97.9,99.88,31.5,33.1,32.2,33
2026-02-24 08:00:09,44.1,2811,85.9,99.88,30.2,31.8,30.6,32.9
2026-02-24 08:00:10,64.6,3393,86.8,99.83,33.3,34,35.1,31.7
2026-02-24 08:00:11,79.3,4982,90.6,99.81,31.4,30.5,34,33.3
2026-02-24 08:00:12,24.2,1587,90.4,99.79,33.1,31.4,32.5,33.8
2026-02-24 08:00:13,40.8,2187,90.5,99.78,31.8,32.3,31.4,32.7
2026-02-24 08:00:14,43,2551,94.5,99.78,31.8,32.3,30.7,34.3
2026-02-24 08:00:15,54.5,3538,95.4,99.75,30.6,30.3,35.1,33.2
2026-02-24 08:00:16,40.7,2847,81.1,99.72,32.7,31.9,34.2,33.4
2026-02-24 08:00:17,5.2,759,97.7,99.71,32.1,30.1,33.3,32.7
2026-02-24 08:00:18,8.4,700,100.1,99.68,31.4,32.7,33.8,33.3
2026-02-24 08:00:19,64.8,3824,87.5,99.65,32.9,31.4,32.4,34.5
2026-02-24 08:00:20,40.4,2561,80.7,99.62,32.5,32.4,33.3,32.7
2026-02-24 08:00:21,18.3,1021,82.2,99.59,32.1,33.3,33.1,31
2026-02-24 08:00:22,42.4,2243,80.5,99.56,32,32.2,32.6,33
2026-02-24 08:00:23,63.2,4045,93.9,99.55,33.4,33,33.9,35
2026-02-24 08:00:24,73.4,4612,95.8,99.49,31.9,31.9,32,30.8
2026-02-24 08:00:25,38.5,2688,100.8,99.46,34.4,32,32.8,31.7
2026-02-24 08:00:26,41.1,2966,93.9,99.43,32.6,32.7,32.4,30.6
2026-02-24 08:00:27,18.6,1558,97.5,99.42,31.7,32,30.8,35.9
2026-02-24 08:00:28,51.9,3351,88.7,99.42,33.3,31.6,33.5,34.2
2026-02-24 08:00:29,35.4,2113,86,99.4,30.3,30.8,34.9,29.9
2026-02-24 08:00:30,51.8,3081,93.6,99.39,33.5,33.2,34.2,33.6
2026-02-24 08:00:31,55.6,3212,94,99.39,29.6,34.4,34.5,34
2026-02-24 08:00:32,60.5,3396,79.6,99.36,33.2,33.2,32.1,30.9
2026-02-24 08:00:33,35.9,2037,97.6,99.34,33.6,33.3,32.8,30.9
2026-02-24 08:00:34,52.6,3340,88.3,99.29,30,31.3,33.9,33.4
2026-02-24 08:00:35,19.2,1267,91.3,99.27,31.6,32.1,32.5,32
2026-02-24 08:00:36,33.2,1630,85.9,99.22,30.8,32.1,33.5,34.3
2026-02-24 08:00:37,32.2,2291,95.8,99.22,32,32.7,30.5,32.8
2026-02-24 08:00:38,8.8,915,89.8,99.22,31.1,31.6,32.6,31.7
2026-02-24 08:00:39,45.5,3175,83.5,99.21,31.4,31,33.5,33.1
