"timestamp","alert","severity"
2026-02-24 08:01:05,"Engine temperature critical","CRITICAL"
2026-02-24 08:01:09,"Tyre pressure low","WARN"
2026-02-24 08:01:22,"Tyre pressure low","WARN"
2026-02-24 08:02:46,"Engine temperature critical","CRITICAL"
2026-02-24 08:04:54,"Engine temperature critical","CRITICAL"
2026-02-24 08:11:13,"Engine temperature critical","CRITICAL"
2026-02-24 08:11:42,"Tyre pressure low","WARN"
2026-02-24 08:16:09,"Tyre pressure low","WARN"
2026-02-24 08:18:28,"Engine temperature critical","CRITICAL"
2026-02-24 08:22:49,"Engine temperature critical","CRITICAL"
2026-02-24 08:24:17,"Engine temperature critical","CRITICAL"
2026-02-24 08:24:50,"Tyre pressure low","WARN"
2026-02-24 08:25:01,"Tyre pressure low","WARN"
2026-02-24 08:25:08,"Tyre pressure low","WARN"
2026-02-24 08:25:56,"Engine temperature critical","CRITICAL"
2026-02-24 08:30:09,"Tyre pressure low","WARN"
